Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Lithuania,LTU,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,10671.4719446213,11306.692042994,12335.0587679254,13352.5202172779,13295.0096487321,13901.8708276818,14931.4194274433,16069.3783550623,17907.7316366874,19296.1852213958,21128.5515595877,23058.6059472163,25921.2117447776,26877.4548412663,23151.4238149608,23992.4515963291,26019.1980141278,27381.3805315612,28644.145309623,29905.0027919257,30801.4226065896,31992.6451834056,33821.1954485172
Lithuania,LTU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,5922.32626002505,6376.14373777533,7068.31731343017,7762.96813723723,7821.64084809079,8459.60505656967,9451.72349386505,10494.3492320996,12067.9009141657,13031.5332665965,14526.075205912,16481.7946016473,19094.2025447007,20744.0735483349,18159.6812923202,20053.9040755309,22823.9541631041,24645.6935431893,26679.9785684523,28156.1858355089,28823.8180924943,30924.9309431662,33821.1954485172
Lithuania,LTU,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,..,..,..,..,..,38727860177.1692,40722329049.0437,44099524998.3846,47392513935.3112,46854778214.4282,48650097428.8223,51824239314.3197,55327946324.8291,61158717886.1262,65164664706.5451,70200204156.1736,75399543114.2561,83759055983.6293,85960309274.438,73226008807.1206,74311388465.1814,78789123794.5505,81809349454.9243,84720473496.6736,87692443321.9509,89475360544.1083,91762296687.0446,95659970670.1725
Lithuania,LTU,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..,21492726074.9094,22964402175.8402,25270202754.9848,27553343461.5084,27565323899.1938,29604692441.2476,32805212033.5297,36132747527.5176,41214452084.7705,44008465206.2913,48263291601.7483,53893968504.078,61698982117.4761,66344339088.5645,57437546514.3803,62112596122.8684,69113557960.608,73635737734.6153,78911079132.147,82564270189.9137,83730597415.0676,88699845604.0485,95659970670.1725
Lithuania,LTU,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,..,..,..,..,..,..,18.9818334175257,11.4505653143562,3.35039209650807,-1.25930488292347,1.28047492299845,-0.321999338204932,0.316685364242915,-0.807966349120932,2.68824540273197,6.89836196046085,6.74398777846079,8.56798765446476,9.70480695282421,-3.29513424570823,2.27287719920912,5.37761981909664,2.77711045420136,1.35365104395785,0.918221818685311,0.0913269037972952,1.61362173854387,4.25194117227659
Lithuania,LTU,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,..,..,..,..,..,..,..,..,..,..,100,98.90086514,101.1330627,105.3046272,106.3718921,102.6137494,99.6469433,100.8743581,97.56029091,98.65657275,96.50703847,95.83149196,95.6437443,96.31492668,98.39500854,100.5257272,101.3568379,100.6878674
Poland,POL,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,..,..,..,..,..,..,16.79591,..,11.27881,10.8919,11.8693,11.83149,11.88938,11.64438,12.28659,12.22228,12.66541,11.26715,11.37921,11.07648,11.06464,10.98486,11.22697,11.59794,11.57975,11.54798,11.28603,..
Poland,POL,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,11314.2582083995,10483.2495893329,10713.9928171029,11086.2700799085,11648.4388178514,12441.3246248883,13184.8089479498,14027.2778007848,14669.3607745665,15351.5919811853,16220.0291054162,16426.9803547161,16770.122418822,17379.2764617482,18282.5073362218,18929.5548916463,20112.0745920475,21538.6178829914,22450.8629017282,23068.3983650111,23968.8184099007,25157.8594589315,25562.4354663779,25933.8860175537,26814.5505905445,27862.5420361036,28728.5710830487,30143.3290263037
Poland,POL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6173.86241160969,5913.85489554479,6181.76889777759,6548.11889536722,7027.07798101897,7662.77157126606,8250.35007365519,8920.16054746493,9471.41188027197,10022.3953632385,10655.425485274,11102.0835060116,11781.0563524395,12257.3348539845,13341.158266681,13895.9235416906,15139.6266951363,16786.7490490813,18310.4432086685,19261.0224550438,21064.0851811089,22850.6388460286,23833.2097049185,24719.2475053519,25612.257831144,26856.0352192633,28283.1543485005,30143.3290263037
Poland,POL,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,431195228072.024,400944387060.797,411028052675.727,426393556741.555,448961723699.739,480172899014.914,509254939184.922,542149517725.881,567168551589.597,593496706274.051,620556075913.318,628300393057.688,641127884396.125,663967784132.211,698066753828.25,722454886091.61,767100006939.198,821064175325.645,855956188333.331,880096376267.751,911840821191.261,957590019839.473,972987173396.16,986530107149.401,1019267591191.87,1058398001150.75,1090826343409.05,1144687674834.63
Poland,POL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,235290724466.851,226182435709.001,237155323465.297,251849872467.228,270842221199.277,295744653467.47,318664573874.385,344761172304.934,366197753276.07,387468520811.944,407661970478.243,424633333696.279,450394072658.275,468286207442.492,509395066675.547,530344105654.599,577444544059.52,639920274330.447,698099544956.881,734838882078.915,801336653343.38,869769693309.293,907167369644.705,940325020076.099,973566357429.12,1020164418525.45,1073913831246.99,1144687674834.63
