year,country,eci,eci_norm,population,gdp_pc,gdp,inflation,economic_freedom,gross_fix_cap,trade_openness,fdi,human_capital,private_sec_cred,rule_of_law,fdi_gdp
2002,Hungary,1.06683,0.6594978289638825,10158608,21417.9471435399,147567884018.729,8.09151375809533,64.5,26728703916.1803,118.320109162292,3643428379.51995,3.022151470184326,31.90155,0.9750017,0.02468984632901244
2003,Hungary,1.11232,0.6841601920509013,10129552,22356.7143792143,156647558815.992,5.44397717005751,63,27037425006.491,116.60617427443,4157510420.33352,3.0526182651519775,36.65859,0.9326175,0.026540537572099614
2004,Hungary,1.15856,0.7092291669716255,10107146,23486.8971945374,164028811074.495,5.08984775085881,62.7,29182891159.8468,123.267702550645,4538099567.15789,3.0833921432495117,42.09579,0.9132501,0.02766647845235479
2005,Hungary,1.17404,0.7176216352193074,10087065,24532.3343548483,172222023006.273,2.62660244093816,63.5,30238007335.7442,127.593088302729,27489690204.0215,3.114476203918457,46.40619,0.8648534,0.15961774065921996
2006,Hungary,1.2364,0.7514300538191423,10071370,25561.0077498318,184705079194.291,3.65899032869254,65,30461336291.9834,148.867502410626,18678720024.6862,3.145873785018921,50.27531,0.9977335,0.10112726789195702
2007,Hungary,1.30326,0.7876781434212103,10055780,25662.6353647423,191506485550.722,5.44070201807727,64.8,31863972852.096,155.346864986064,70631297038.9164,3.1775879859924316,56.45425,0.9641744,0.3688193474795356
2008,Hungary,1.35814,0.817431286666222,10038188,25979.670814072,207757652349.402,4.78952411281135,67.6,32241426525.3773,158.195277169557,75107772943.2045,3.2096216678619385,63.70934,0.9260617,0.36151627674772713
2009,Hungary,1.3362,0.8055365351575567,10022650,24276.7262254787,207405963640.368,4.19132276081717,66.8,29300468178.3182,144.768073219014,-2792080129.12211,3.241978406906128,66.04955,0.7964902,-0.013461908616877781
2010,Hungary,1.39419,0.8369757621396674,10000023,24493.2902561854,215860857902.379,2.38360870002599,66.1,26526880212.2364,158.204304357991,-20770280260.78,3.274661064147949,60.08654,0.7802678,-0.0962206880052944
2011,Hungary,1.53397,0.9127573649601439,9971727,25009.6098194132,228296184503.14,2.18213634928421,66.6,26181690031.7386,167.053993498805,10740966550.9834,3.290193796157837,58.98307,0.764692,0.04704838398574142
